Applicant_ID,Identity_Card,Name,Age,Gender,Education_Level,Field_of_Study,Education_Background,Skills,Graduation_Year,Experience_Years,Certifications,Job_Applied,Required_Education_Levels,Required_Fields,Required_Min_Experience,Required_Max_Experience,Required_Skills,Required_Certifications,Shortlisted
7815,1196670003420601,MUKAMUSONERA Patrick,59,Female,PhD,Information Technology,PhD in Information Technology,"Linux, Networking, Windows Server",1993,32,ITIL Foundation,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7816,1199880006412210,NDAYISENGA Alice,27,Male,Bachelor's,Marketing,Bachelor's in Marketing,"Google Analytics, Content Marketing, Market Research",2021,4,"Facebook Blueprint, Google Analytics Certification",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
7817,1196770001708451,MUKANDAYA Theogene,58,Female,PhD,Information Technology,PhD in Information Technology,"Cloud Computing, Database Administration, Networking",1999,26,"ITIL Foundation, CEH",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7818,1197070003606266,MUKANDAYA Paul,55,Female,Master's,Economics,Master's in Economics,"Econometrics, Python, Statistical Analysis, R",1999,26,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7819,1197270002545499,MUKANDORI Jean,53,Female,Master's,Marketing,Master's in Marketing,"Social Media, SEO, Market Research",2001,24,"Google Analytics Certification, HubSpot Certification",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7820,1199280007692944,HABIMANA Florence,33,Male,Master's,Engineering,Master's in Engineering,"Project Management, Technical Drawing, SolidWorks",2018,7,"Six Sigma Green Belt, PE License, PMI-PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
7821,1196770009780230,MUKANDORI Paul,58,Female,Master's,Computer Science,Master's in Computer Science,"Algorithms, Python, C++, Machine Learning",1997,28,"Oracle Java, CISSP, CompTIA Security+",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7822,2200380008723904,RUTAYISIRE Jean,22,Male,Bachelor's,Business Administration,Bachelor's in Business Administration,"Business Analysis, Negotiation, Communication, Leadership, Project Management, Strategic Planning",2025,0,"CFA, CAPM, Six Sigma",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
7823,1197270008257610,MUKAMANA Paul,53,Female,Bachelor's,Education,Bachelor's in Education,"Lesson Planning, Classroom Management, Assessment, Curriculum Development",1996,29,"Teaching License, National Board Certification",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
7824,2197270002889611,MUKAGASANA Emmanuel,53,Female,PhD,Accounting,PhD in Accounting,"SAP, Auditing, Financial Reporting",2000,25,CIA,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7825,1197280005161440,KAMALI Peter,53,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"SQL, Data Structures, Python, Algorithms, Web Development",1994,31,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7826,1200480002992926,TWAGIRAYEZU Florence,21,Male,Diploma,Law,Diploma in Law,"Legal Research, Corporate Law, Contract Law",2024,1,"CPLP, Bar Admission",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7827,1197180007655224,MUTABAZI Paul,54,Male,PhD,Information Technology,PhD in Information Technology,"ITIL, Windows Server, Cloud Computing, Networking",2003,22,"CEH, CompTIA A+, CISM",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7828,2197470007532092,MUKANDORI Eric,51,Female,PhD,Information Technology,PhD in Information Technology,"Cloud Computing, Networking, Windows Server, ITIL, Database Administration, Cybersecurity",2007,18,"CCNA, CEH, CompTIA A+",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7829,1197180004884990,MUTABAZI Eric,54,Male,Master's,Economics,Master's in Economics,"Forecasting, Econometrics, Data Visualization, R, Statistical Analysis",2000,25,None,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
7830,1196780007552066,KALISA Patrick,58,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"Python, Web Development, Algorithms, Java, Data Structures",1991,34,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7831,1198180004845925,RUKUNDO Patrick,44,Male,Bachelor's,Business Administration,Bachelor's in Business Administration,"Strategic Planning, Business Analysis, Communication, Project Management, Negotiation, Leadership",2006,19,"PMP, CFA, CAPM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7832,1200370000541774,MUKANDORI Jean,22,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,"Web Development, Java, Machine Learning, Data Structures, C++",2025,0,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7833,2197180005653118,NDAYISENGA Emmanuel,54,Male,Master's,Information Technology,Master's in Information Technology,"Cloud Computing, Cybersecurity, Linux, Database Administration",1999,26,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7834,1199170001819742,MUKAYIRANGA Alice,34,Female,Bachelor's,Economics,Bachelor's in Economics,"Econometrics, R, Python, Data Visualization, Statistical Analysis",2015,10,Certified Business Economist,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7835,1200070008386008,MUKAMUSONERA Eric,25,Female,Bachelor's,Marketing,Bachelor's in Marketing,"Social Media, Email Marketing, Google Analytics, Content Marketing, SEO, Market Research",2023,2,"Facebook Blueprint, PCM, Google Analytics Certification",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7836,2200270008491289,MUKANDAYA Peter,23,Female,Bachelor's,Computer Science,Bachelor's in Computer Science,"Web Development, Data Structures, Python, SQL",2025,0,AWS Certified,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
7837,2198480003149024,KAMALI Peter,41,Male,Bachelor's,Economics,Bachelor's in Economics,"Forecasting, R, Python, Econometrics",2009,16,"FRM, Certified Business Economist, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7838,1198180000650013,HABIYAREMYE Claudine,44,Male,PhD,Marketing,PhD in Marketing,"Google Analytics, Email Marketing, Content Marketing, Market Research, Social Media",2013,12,Google Analytics Certification,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
7839,1199880001252087,MUTABAZI Theogene,27,Male,Bachelor's,Accounting,Bachelor's in Accounting,"SAP, Taxation, Excel",2020,5,CIA,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
7840,1196870002283108,MUKAMANA Olivier,57,Female,PhD,Marketing,PhD in Marketing,"SEO, Market Research, Content Marketing",1997,28,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7841,1199370006532884,MUKAGASANA Jean,32,Female,Master's,Marketing,Master's in Marketing,"Social Media, Content Marketing, SEO, Market Research",2021,4,"HubSpot Certification, Google Analytics Certification",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7842,1197670003796539,MUKAGASANA Alice,49,Female,Diploma,Computer Science,Diploma in Computer Science,"Algorithms, Machine Learning, Python, Web Development, SQL",1998,27,"Azure Fundamentals, CompTIA Security+",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7843,2198270007191465,MUKAMANA Olivier,43,Female,Master's,Education,Master's in Education,"Classroom Management, Lesson Planning, Assessment",2011,14,"TESOL, National Board Certification, Teaching License",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7844,1198370001886161,MUKAMURENZI Paul,42,Female,PhD,Marketing,PhD in Marketing,"Email Marketing, Content Marketing, Social Media, SEO",2016,9,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7845,2199070005548874,MUKARUHOGO Jean,35,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Auditing, CPA, Taxation, QuickBooks, SAP, Financial Reporting",2012,13,"CFA, CMA, CPA",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
7846,2197080003814911,MUTABAZI Paul,55,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Networking, ITIL, Cybersecurity, Windows Server, Cloud Computing",1994,31,"ITIL Foundation, CompTIA A+, CISM",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7847,1200170008202199,MUKAMURENZI Eric,24,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Excel, SAP, QuickBooks, Taxation",2023,2,CIA,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7848,1198170004114313,MUKAMUSONERA Theogene,44,Female,Bachelor's,Accounting,Bachelor's in Accounting,"Excel, CPA, Auditing, QuickBooks",2005,20,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7849,1199970009325872,MUKAMANA Peter,26,Female,Master's,Marketing,Master's in Marketing,"Social Media, Google Analytics, Market Research, Email Marketing, SEO",2024,1,"HubSpot Certification, PCM",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7850,1198180000038178,RUKUNDO Chantal,44,Male,Master's,Economics,Master's in Economics,"Data Visualization, Statistical Analysis, Forecasting, Econometrics, R",2005,20,"Certified Business Economist, FRM, CFA",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7851,1198480002560425,KALISA Peter,41,Male,Bachelor's,Information Technology,Bachelor's in Information Technology,"Networking, Database Administration, Windows Server, ITIL, Cloud Computing, Cybersecurity",2006,19,"CCNA, ITIL Foundation",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7852,1196970008475943,MUKAMUSONERA Paul,56,Female,Master's,Computer Science,Master's in Computer Science,"SQL, Python, Java",1993,32,"CompTIA Security+, AWS Certified",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7853,2196980008447058,NSENGIYUMVA Grace,56,Male,Bachelor's,Computer Science,Bachelor's in Computer Science,"Web Development, Python, SQL, Java, Machine Learning",1992,33,None,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7854,1198170005051915,MUKANDAYA Emmanuel,44,Female,Master's,Economics,Master's in Economics,"Data Visualization, Python, Statistical Analysis, R, Forecasting",2005,20,"CFA, Certified Business Economist, FRM",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7855,1198570003572949,MUKANDAYA Diane,40,Female,Master's,Marketing,Master's in Marketing,"SEO, Market Research, Email Marketing, Google Analytics, Content Marketing, Social Media",2010,15,"HubSpot Certification, Google Analytics Certification, PCM",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
7856,1199570006624216,MUKAGASANA Theogene,30,Female,Diploma,Information Technology,Diploma in Information Technology,"Cloud Computing, ITIL, Networking, Cybersecurity",2018,7,"CEH, CISM, CCNA",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
7857,2198580000651244,RUKUNDO Alice,40,Male,Diploma,Economics,Diploma in Economics,"Python, Data Visualization, Forecasting, Statistical Analysis, R",2008,17,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7858,1199570009395159,MUKANDAYA Jean,30,Female,Diploma,Information Technology,Diploma in Information Technology,"Windows Server, Networking, Database Administration, ITIL, Linux",2018,7,"CompTIA A+, CCNA, CISM",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7859,1199980003590701,RUKUNDO Alice,26,Male,Diploma,Engineering,Diploma in Engineering,"Technical Drawing, MATLAB, AutoCAD",2022,3,Six Sigma Green Belt,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7860,1196680002622726,NSENGIYUMVA Peter,59,Male,Master's,Education,Master's in Education,"Curriculum Development, Educational Technology, Classroom Management",1996,29,"Teaching License, National Board Certification, TESOL",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7861,1198080009401996,TWAGIRAYEZU Peter,45,Male,Master's,Business Administration,Master's in Business Administration,"Negotiation, Business Analysis, Leadership, Strategic Planning",2004,21,Six Sigma,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7862,1198070000947775,MUKAMURENZI Diane,45,Female,Master's,Information Technology,Master's in Information Technology,"Cloud Computing, ITIL, Windows Server",2006,19,"ITIL Foundation, CompTIA A+",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7863,1199780001409792,TWAGIRAYEZU Eric,28,Male,PhD,Engineering,PhD in Engineering,"Quality Control, Project Management, MATLAB, AutoCAD",2024,1,"PMI-PMP, Six Sigma Green Belt",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7864,1197270009522337,MUKANYIRABUKA Diane,53,Female,Master's,Economics,Master's in Economics,"Statistical Analysis, Forecasting, R, Data Visualization, Econometrics, Python",2002,23,"Certified Business Economist, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7865,1199270000778839,MUKARUHOGO Grace,33,Female,Bachelor's,Education,Bachelor's in Education,"Assessment, Curriculum Development, Educational Technology, Classroom Management, Lesson Planning",2017,8,CPCE,Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7866,1198780000491904,HABIMANA Chantal,38,Male,Master's,Law,Master's in Law,"Corporate Law, Compliance, Negotiation",2015,10,None,Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7867,2198870009299043,MUKAYIRANGA Paul,37,Female,PhD,Marketing,PhD in Marketing,"Social Media, Market Research, SEO, Google Analytics, Content Marketing",2015,10,"PCM, Google Analytics Certification",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7868,1198280002960132,NSENGIYUMVA Theogene,43,Male,Master's,Economics,Master's in Economics,"R, Forecasting, Statistical Analysis, Econometrics, Data Visualization, Python",2008,17,"Certified Business Economist, FRM, CFA",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",0
7869,1200180001374395,KALISA Peter,24,Male,Diploma,Accounting,Diploma in Accounting,"SAP, Excel, Financial Reporting",2021,4,"CIA, CFA",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",1
7870,1197170006104601,MUKAMANA Marie,54,Female,Master's,Education,Master's in Education,"Educational Technology, Lesson Planning, Curriculum Development, Assessment, Classroom Management",1999,26,None,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7871,2197970004462271,MUKAMANA Patrick,46,Female,Master's,Law,Master's in Law,"Compliance, Negotiation, Contract Law, Legal Research, Litigation, Corporate Law",2008,17,"CPLP, Bar Admission, Certified Legal Manager",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7872,1196980002413951,KAMALI Peter,56,Male,PhD,Engineering,PhD in Engineering,"Quality Control, SolidWorks, Project Management",2001,24,"PE License, LEED, PMI-PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7873,1199780009067288,NDAYISENGA Theogene,28,Male,Bachelor's,Nursing,Bachelor's in Nursing,"CPR, Patient Care, Medical Records, Clinical Skills, Emergency Response, Healthcare Ethics",2020,5,"NCLEX-RN, CCRN, BLS",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
7874,1196680005225910,NDAYISENGA Alice,59,Male,Master's,Computer Science,Master's in Computer Science,"Data Structures, Web Development, Machine Learning, Java, C++, SQL",1993,32,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7875,1197780000405298,NSENGIYUMVA Eric,48,Male,Diploma,Information Technology,Diploma in Information Technology,"Cybersecurity, Database Administration, Windows Server",2000,25,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7876,2196980008333476,NSENGIYUMVA Alice,56,Male,Master's,Computer Science,Master's in Computer Science,"Algorithms, SQL, Java, Web Development, Data Structures, Machine Learning",1997,28,"CISSP, AWS Certified, Azure Fundamentals",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7877,1196780006440938,KAMALI Alice,58,Male,Master's,Business Administration,Master's in Business Administration,"Communication, Project Management, Leadership, Strategic Planning, Business Analysis, Negotiation",1991,34,"MBA, Six Sigma, PMP",Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",0
7878,2198880009886759,TWAGIRAYEZU Olivier,37,Male,PhD,Marketing,PhD in Marketing,"Social Media, Content Marketing, SEO",2023,2,"Google Analytics Certification, PCM",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
7879,1198570009945076,MUKARUHOGO Chantal,40,Female,Master's,Engineering,Master's in Engineering,"SolidWorks, Technical Drawing, Quality Control, AutoCAD, MATLAB",2014,11,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7880,1199870003897904,MUKAMURENZI Florence,27,Female,Diploma,Nursing,Diploma in Nursing,"CPR, Clinical Skills, Patient Care, Emergency Response, Medical Records",2020,5,"BLS, PALS, CCRN",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7881,1198980005430883,HABIYAREMYE Patrick,36,Male,Bachelor's,Economics,Bachelor's in Economics,"Statistical Analysis, Python, Econometrics, Data Visualization, Forecasting",2014,11,"FRM, CFA",Data Analyst,"Bachelor's, Master's","Computer Science, Information Technology, Economics, Business Administration",0,8,"SQL, Python, Excel, Tableau, Statistics, Data Visualization","Google Analytics Certification, CFA, AWS Certified",1
7882,1197970007137326,MUKASHYAKA Olivier,46,Female,Master's,Computer Science,Master's in Computer Science,"Java, Data Structures, SQL, Python",2008,17,"Azure Fundamentals, AWS Certified, CISSP",Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",1
7883,2200480003799661,KAMALI Chantal,21,Male,Diploma,Marketing,Diploma in Marketing,"Social Media, SEO, Email Marketing",2024,1,None,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7884,1199870007749883,MUKANDORI Patrick,27,Female,Master's,Marketing,Master's in Marketing,"Content Marketing, Social Media, Market Research, Email Marketing, Google Analytics",2023,2,"HubSpot Certification, Facebook Blueprint, Google Analytics Certification",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7885,1199680003820238,HABIMANA Emmanuel,29,Male,Bachelor's,Accounting,Bachelor's in Accounting,"Financial Reporting, Taxation, SAP, CPA, QuickBooks, Auditing",2018,7,CPA,Project Manager,"Bachelor's, Master's","Business Administration, Engineering, Education",2,15,"Project Management, Communication, Risk Management, Agile, Leadership","PMP, CAPM, Six Sigma, ITIL Foundation",1
7886,2196880008357912,RUKUNDO Peter,57,Male,Master's,Law,Master's in Law,"Contract Law, Litigation, Compliance, Legal Research",1996,29,Bar Admission,Software Engineer,"Bachelor's, Master's","Computer Science, Information Technology, Engineering",0,10,"Python, Java, SQL, JavaScript, Algorithms","AWS Certified, Azure Fundamentals, Oracle Java",0
7887,1197680007219704,HABIYAREMYE Eric,49,Male,Bachelor's,Nursing,Bachelor's in Nursing,"Patient Care, Medical Records, Healthcare Ethics, CPR, Emergency Response",2000,25,"ACLS, PALS",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
7888,2199270009594817,MUKANDORI Marie,33,Female,PhD,Economics,PhD in Economics,"Econometrics, Statistical Analysis, R, Data Visualization",2019,6,"CFA, FRM",Accountant,"Bachelor's, Master's","Accounting, Business Administration, Economics",0,12,"Financial Reporting, Taxation, Auditing, Excel, QuickBooks","CPA, ACCA, CMA, CFA",0
7889,1200170002606637,MUKAYIRANGA Claudine,24,Female,Master's,Nursing,Master's in Nursing,"Patient Care, CPR, Clinical Skills, Emergency Response, Medical Records, Healthcare Ethics",2025,0,ACLS,Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",1
7890,1196870005629036,MUKAGASANA Diane,57,Female,Diploma,Marketing,Diploma in Marketing,"Content Marketing, Google Analytics, Email Marketing, SEO, Market Research",1991,34,"HubSpot Certification, PCM, Google Analytics Certification",Nurse,"Diploma, Bachelor's","Nursing, Public Health",0,15,"Patient Care, Emergency Response, Medical Records, CPR, Clinical Skills","BLS, ACLS, PALS, NCLEX-RN",0
